,conv1D_n_filters,conv1D_kernel_size,learning_rate
0,160,7,0.001
1,96,9,0.01
2,192,9,0.01
3,96,9,0.01
4,32,6,0.01
5,64,5,0.001
6,256,6,0.01
7,160,7,0.001
8,32,6,0.01
9,32,9,0.0001
