Date,Open,High,Low,Close,Adj Close,Volume
1968-01-01,1266.270020,1282.380005,1266.270020,1282.380005,1282.380005,0
1968-01-08,1283.530029,1316.890015,1283.530029,1314.469971,1314.469971,0
1968-01-15,1314.979980,1322.989990,1312.739990,1312.739990,1312.739990,0
1968-01-22,1306.489990,1313.180054,1304.449951,1313.180054,1313.180054,0
1968-01-29,1306.609985,1318.109985,1306.609985,1318.109985,1318.109985,0
1968-02-05,1320.579956,1331.770020,1320.579956,1330.729980,1330.729980,0
1968-02-12,1337.589966,1340.079956,1334.219971,1334.219971,1334.219971,0
1968-02-19,1345.010010,1352.030029,1341.640015,1348.660034,1348.660034,0
1968-02-26,1341.030029,1355.489990,1341.030029,1355.489990,1355.489990,0
1968-03-04,1355.489990,1355.489990,1321.410034,1321.410034,1321.410034,0
1968-03-11,1326.680054,1340.540039,1318.010010,1340.540039,1340.540039,0
1968-03-18,1373.000000,1373.000000,1350.640015,1350.640015,1350.640015,0
1968-03-25,1356.719971,1369.719971,1354.689941,1361.150024,1361.150024,0
1968-04-01,1367.359985,1393.319946,1367.359985,1393.319946,1393.319946,0
1968-04-08,1406.319946,1415.000000,1402.189941,1415.000000,1415.000000,0
1968-04-15,1443.650024,1443.650024,1433.939941,1437.300049,1437.300049,0
1968-04-22,1440.479980,1450.319946,1438.239990,1438.239990,1438.239990,0
1968-04-29,1456.069946,1464.819946,1456.069946,1464.819946,1464.819946,0
1968-05-06,1480.160034,1480.160034,1473.500000,1473.500000,1473.500000,0
1968-05-13,1469.500000,1485.859985,1466.369995,1485.859985,1485.859985,0
1968-05-20,1500.410034,1500.410034,1460.099976,1460.099976,1460.099976,0
1968-05-27,1460.020020,1465.599976,1452.319946,1462.339966,1462.339966,0
1968-06-03,1496.560059,1518.660034,1496.560059,1510.510010,1510.510010,0
1968-06-10,1522.589966,1531.459961,1519.060059,1524.030029,1524.030029,0
1968-06-17,1532.000000,1532.000000,1481.239990,1482.540039,1482.540039,0
1968-06-24,1482.540039,1531.180054,1482.540039,1531.180054,1531.180054,0
1968-07-01,1548.900024,1548.900024,1540.420044,1547.089966,1547.089966,0
1968-07-08,1552.760010,1564.479980,1549.869995,1564.479980,1564.479980,0
1968-07-15,1581.560059,1581.560059,1561.660034,1565.869995,1565.869995,0
1968-07-22,1573.800049,1582.829956,1570.069946,1582.829956,1582.829956,0
1968-07-29,1592.109985,1602.969971,1583.000000,1601.839966,1601.839966,0
1968-08-05,1604.569946,1622.859985,1598.439941,1622.859985,1622.859985,0
1968-08-12,1627.819946,1631.239990,1612.260010,1612.260010,1612.260010,0
1968-08-19,1623.189941,1648.170044,1623.189941,1648.170044,1648.170044,0
1968-08-26,1655.680054,1691.910034,1655.680054,1691.910034,1691.910034,0
1968-09-02,1717.599976,1736.939941,1705.150024,1736.939941,1736.939941,0
1968-09-09,1736.939941,1766.219971,1736.939941,1764.410034,1764.410034,0
1968-09-16,1792.099976,1801.619995,1792.099976,1801.619995,1801.619995,0
1968-09-23,1802.979980,1826.680054,1802.979980,1826.680054,1826.680054,0
1968-09-30,1826.680054,1851.489990,1803.239990,1803.239990,1803.239990,0
1968-10-07,1830.640015,1830.640015,1715.469971,1715.469971,1715.469971,0
1968-10-14,1747.060059,1747.060059,1700.479980,1741.930054,1741.930054,0
1968-10-21,1746.829956,1749.329956,1726.619995,1749.329956,1749.329956,0
1968-10-28,1755.510010,1768.939941,1741.920044,1741.920044,1741.920044,0
1968-11-04,1709.810059,1709.810059,1668.089966,1668.089966,1668.089966,0
1968-11-11,1668.089966,1697.079956,1659.180054,1697.079956,1697.079956,0
1968-11-18,1705.010010,1712.290039,1693.040039,1693.040039,1693.040039,0
1968-11-25,1668.550049,1716.689941,1668.550049,1716.689941,1716.689941,0
1968-12-02,1743.209961,1743.209961,1718.089966,1718.089966,1718.089966,0
1968-12-09,1690.979980,1725.430054,1690.979980,1712.000000,1712.000000,0
1968-12-16,1722.329956,1722.329956,1692.930054,1702.449951,1702.449951,0
1968-12-23,1701.670044,1701.670044,1699.079956,1699.079956,1699.079956,0
1968-12-30,1699.079956,1699.079956,1699.079956,1699.079956,1699.079956,0
1969-01-06,1755.150024,1761.930054,1753.310059,1753.310059,1753.310059,0
1969-01-13,1767.349976,1782.050049,1767.349976,1779.630005,1779.630005,0
1969-01-20,1779.630005,1830.869995,1779.630005,1825.800049,1825.800049,0
1969-01-27,1833.290039,1833.290039,1820.619995,1830.260010,1830.260010,0
1969-02-03,1828.040039,1845.949951,1828.040039,1845.949951,1845.949951,0
1969-02-10,1851.050049,1852.380005,1826.140015,1826.140015,1826.140015,0
1969-02-17,1824.270020,1828.849976,1775.430054,1775.430054,1775.430054,0
1969-02-24,1765.900024,1777.969971,1758.540039,1758.540039,1758.540039,0
1969-03-03,1769.550049,1769.550049,1748.880005,1766.890015,1766.890015,0
1969-03-10,1789.319946,1803.109985,1778.989990,1795.579956,1795.579956,0
1969-03-17,1806.640015,1806.640015,1783.199951,1783.199951,1783.199951,0
1969-03-24,1815.739990,1832.859985,1815.739990,1824.069946,1824.069946,0
1969-03-31,1841.020020,1868.119995,1827.439941,1868.119995,1868.119995,0
1969-04-07,1872.099976,1893.500000,1870.969971,1893.500000,1893.500000,0
1969-04-14,1900.260010,1900.260010,1871.839966,1880.829956,1880.829956,0
1969-04-21,1878.449951,1896.089966,1877.250000,1896.089966,1896.089966,0
1969-04-28,1901.030029,1911.540039,1901.030029,1906.439941,1906.439941,0
1969-05-05,1925.140015,1925.140015,1917.439941,1919.069946,1919.069946,0
1969-05-12,1938.979980,1938.979980,1937.050049,1937.050049,1937.050049,0
1969-05-19,1939.829956,1939.829956,1928.290039,1932.199951,1932.199951,0
1969-05-26,1939.369995,1990.530029,1939.369995,1990.530029,1990.530029,0
1969-06-02,2007.609985,2009.180054,2000.469971,2009.180054,2009.180054,0
1969-06-09,2029.099976,2029.589966,1926.010010,1926.010010,1926.010010,0
1969-06-16,1955.689941,1955.689941,1883.500000,1883.500000,1883.500000,0
1969-06-23,1867.310059,1953.520020,1867.310059,1953.520020,1953.520020,0
1969-06-30,1953.520020,1998.000000,1953.520020,1992.810059,1992.810059,0
1969-07-07,1983.140015,1987.599976,1930.560059,1948.640015,1948.640015,0
1969-07-14,1911.119995,1919.459961,1898.880005,1906.000000,1906.000000,0
