,lstm_n_units,learning_rate
0,96,0.01
1,128,0.01
2,96,0.01
3,64,0.01
4,64,0.01
5,128,0.01
6,192,0.01
7,192,0.001
8,128,0.001
9,96,0.001
10,96,0.001
11,96,0.001
12,128,0.01
13,64,0.001
14,160,0.0001
15,64,0.001
16,160,0.0001
17,192,0.0001
18,128,0.0001
19,32,0.0001
20,64,0.0001
21,224,0.01
22,32,0.001
23,160,0.01
24,96,0.0001
25,224,0.001
26,224,0.0001
27,160,0.001
28,256,0.01
29,32,0.01
