,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,224,5,160,0.001
1,96,8,256,0.001
2,160,6,32,0.001
3,224,9,32,0.01
4,96,9,192,0.01
5,192,7,32,0.01
6,192,7,32,0.01
7,224,5,160,0.001
8,256,6,64,0.001
9,96,9,192,0.01
10,256,8,128,0.001
11,128,5,96,0.01
12,256,6,64,0.001
13,160,5,64,0.01
14,64,7,32,0.01
15,128,8,256,0.001
16,192,6,64,0.001
17,96,9,192,0.01
18,256,6,64,0.001
19,192,6,64,0.001
20,64,6,192,0.0001
21,96,7,192,0.001
22,160,8,128,0.001
23,128,8,96,0.0001
24,96,9,192,0.0001
25,128,7,192,0.0001
26,64,8,96,0.0001
27,96,8,160,0.0001
28,160,5,64,0.01
29,256,7,256,0.01
