,bi_lstm_n_units,learning_rate
0,32,0.01
1,64,0.01
2,96,0.01
3,224,0.01
4,256,0.001
5,64,0.01
6,192,0.001
7,32,0.01
8,256,0.01
9,224,0.01
10,64,0.0001
11,192,0.001
12,32,0.01
13,160,0.001
14,32,0.001
15,96,0.0001
16,160,0.001
17,192,0.001
18,64,0.001
19,224,0.0001
20,224,0.001
21,256,0.0001
22,160,0.0001
23,128,0.0001
24,160,0.01
25,192,0.0001
26,192,0.01
27,256,0.01
28,32,0.0001
29,128,0.01
