,lstm_n_units,lstm_n_units_2,learning_rate
0,128,192,0.01
1,96,160,0.01
2,256,160,0.01
3,96,160,0.01
4,64,160,0.001
5,64,64,0.001
6,256,160,0.01
7,64,160,0.001
8,128,192,0.01
9,256,96,0.0001
10,64,160,0.001
11,96,32,0.0001
12,160,224,0.001
13,224,32,0.001
14,32,160,0.001
15,256,192,0.0001
16,32,160,0.001
17,64,96,0.0001
18,64,192,0.0001
19,128,192,0.01
20,256,192,0.0001
21,256,128,0.0001
22,96,160,0.0001
23,96,256,0.01
24,32,224,0.0001
25,32,192,0.0001
26,32,192,0.01
27,32,64,0.0001
28,256,192,0.001
29,128,64,0.01
