Epoch,Training Loss,Validation Loss
0,0.05373802036046982,0.026267608627676964
1,0.008499322459101677,0.015734847635030746
2,0.005787070840597153,0.007956861518323421
3,0.00587488291785121,0.017978748306632042
4,0.0052439989522099495,0.006263235583901405
5,0.004163379780948162,0.006752497516572475
6,0.004520813003182411,0.005963421426713467
7,0.004877198953181505,0.006402908358722925
8,0.003788016503676772,0.006520343013107777
9,0.0037603103555738926,0.006418311037123203
10,0.003958638291805983,0.005195467732846737
11,0.0033161090686917305,0.005478306673467159
12,0.00384897761978209,0.005924574099481106
13,0.003921134397387505,0.008676232770085335
14,0.003190397983416915,0.004988611675798893
15,0.0029978621751070023,0.0064880624413490295
16,0.0028546731919050217,0.004867395851761103
17,0.0029943569097667933,0.004590475000441074
18,0.0031871655955910683,0.009606375358998775
19,0.0030360885430127382,0.004648896865546703
20,0.0038280102889984846,0.004822904709726572
21,0.0028799388092011213,0.004531370010226965
22,0.0028086970560252666,0.004509339574724436
23,0.0026316700968891382,0.004600927699357271
24,0.0036335967015475035,0.006514366250485182
25,0.002492169151082635,0.005151642486453056
26,0.002769843675196171,0.00511216139420867
27,0.0030672678258270025,0.004323979839682579
28,0.002437303541228175,0.004562453366816044
29,0.0026002705562859774,0.004488293081521988
30,0.0032268252689391375,0.00507143372669816
31,0.002627480076625943,0.0048610493540763855
32,0.0023766697850078344,0.00423420500010252
33,0.002492748200893402,0.004223275929689407
34,0.0027765703853219748,0.005335250869393349
35,0.0033487987238913774,0.004939305130392313
36,0.002835986902937293,0.004641242790967226
37,0.0028472484555095434,0.004269343335181475
38,0.00289896666072309,0.004661369603127241
39,0.0024928441271185875,0.0056572421453893185
40,0.0029283277690410614,0.008943724445998669
41,0.002435495378449559,0.004441617988049984
42,0.002549470169469714,0.004319730214774609
43,0.0023779396433383226,0.00448756106197834
44,0.002416197443380952,0.0073916115798056126
45,0.0026788238901644945,0.006746084429323673
46,0.0031773922964930534,0.007217958569526672
47,0.0027338648214936256,0.004401072859764099
48,0.0028205644339323044,0.0045160152949392796
49,0.0026376384776085615,0.008851774968206882
