Epoch,Training Loss,Validation Loss
0,0.012547544203698635,0.016848687082529068
1,0.004723168909549713,0.00776023929938674
2,0.003992644604295492,0.007425787393003702
3,0.0034846244379878044,0.010723560117185116
4,0.0033973916433751583,0.005992404650896788
5,0.00345906475558877,0.008375504985451698
6,0.0034057251177728176,0.005542791914194822
7,0.004018906503915787,0.00784551165997982
8,0.0029136273078620434,0.006379162892699242
9,0.0029052202589809895,0.006256621330976486
10,0.0029339499305933714,0.0071199857629835606
11,0.002735704416409135,0.007428723853081465
12,0.0029197398107498884,0.006606942508369684
13,0.0026856788899749517,0.007734723389148712
14,0.002756221918389201,0.005365888588130474
15,0.003107021562755108,0.004682602360844612
16,0.002438074443489313,0.007037474308162928
17,0.0026171039789915085,0.007932711392641068
18,0.0028729105833917856,0.008893375284969807
19,0.0024720621295273304,0.004601824562996626
20,0.002378117758780718,0.0045591737143695354
21,0.0022262639831751585,0.004602345172315836
22,0.002557688159868121,0.007934746332466602
23,0.0024109724909067154,0.004712826106697321
24,0.002674798248335719,0.007370391394942999
25,0.002982311649248004,0.005749297793954611
26,0.0023877599742263556,0.005126942414790392
27,0.002155744470655918,0.005400706548243761
28,0.0022904796060174704,0.011030887253582478
29,0.0024691405706107616,0.005570524837821722
30,0.0022644251585006714,0.0073484997265040874
31,0.002476903609931469,0.00506745558232069
32,0.0023189540952444077,0.004897818900644779
33,0.00238161813467741,0.005005256738513708
34,0.0024517017882317305,0.005734835285693407
35,0.002382927341386676,0.0046122330240905285
36,0.002343331929296255,0.004730136599391699
37,0.0023140753619372845,0.0045359754003584385
38,0.002332746284082532,0.004671634174883366
39,0.0024889372289180756,0.004722038749605417
40,0.0023235753178596497,0.005098789930343628
41,0.002113424241542816,0.005360201001167297
42,0.002216744003817439,0.005951956380158663
43,0.0022211829200387,0.008427307941019535
44,0.002395283430814743,0.004596589133143425
45,0.002112416550517082,0.00454765884205699
46,0.0021691727451980114,0.0051167914643883705
47,0.0021812773775309324,0.005932117346674204
48,0.0024649163242429495,0.00524585135281086
49,0.00231975712813437,0.004979302175343037
