Epoch,Training Loss,Validation Loss
0,0.0724770575761795,0.03132127970457077
1,0.018023638054728508,0.024985652416944504
2,0.014874693937599659,0.019533948972821236
3,0.014015150256454945,0.0309054683893919
4,0.011415933258831501,0.020795082673430443
5,0.012465836480259895,0.010258221067488194
6,0.01241481862962246,0.017201339825987816
7,0.010918204672634602,0.012561655603349209
8,0.009339178912341595,0.014710883609950542
9,0.00960550270974636,0.006892680190503597
10,0.008514728397130966,0.00577342277392745
11,0.0076691703870892525,0.010292336344718933
12,0.008766472339630127,0.00901294406503439
13,0.008064838126301765,0.006637403275817633
14,0.008770762011408806,0.015287885442376137
15,0.008226379752159119,0.014602888375520706
16,0.008746275678277016,0.009294546209275723
17,0.0083063505589962,0.004652485251426697
18,0.00770181929692626,0.008717224933207035
19,0.007524426095187664,0.009713521227240562
20,0.0071173482574522495,0.006045474670827389
21,0.006211995147168636,0.010091910138726234
22,0.006526650860905647,0.009899490512907505
23,0.006101296283304691,0.008463281206786633
24,0.006656296085566282,0.0061441152356565
25,0.006755106151103973,0.006764647085219622
26,0.006748247891664505,0.008712421171367168
27,0.006398852448910475,0.008604101836681366
28,0.006690375506877899,0.005254996940493584
29,0.006283233407884836,0.004079422913491726
30,0.006992768030613661,0.011095985770225525
31,0.00532416719943285,0.006793992593884468
32,0.006153196562081575,0.007929888553917408
33,0.007246420718729496,0.0074188122525811195
34,0.006131025962531567,0.0041056908667087555
35,0.005672252271324396,0.011736872605979443
36,0.005712463986128569,0.004860750865191221
37,0.005500465631484985,0.01254648994654417
38,0.005120790097862482,0.00516697159036994
39,0.006253042258322239,0.005803120322525501
40,0.004837736487388611,0.0036658153403550386
41,0.007034150417894125,0.0036853256169706583
42,0.0060129426419734955,0.0067240651696920395
43,0.006326928269118071,0.004538699984550476
44,0.005110593046993017,0.008748858235776424
45,0.005511879920959473,0.004382575862109661
46,0.004129761829972267,0.0043669939041137695
47,0.004286769777536392,0.0049226717092096806
48,0.005021434277296066,0.004536464344710112
49,0.004923595115542412,0.003353752661496401
