Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,483.8274230957031,476017.6875,689.9403686523438,3.140826940536499,0.9891548009273553
Model_2 : LSTM Multivariate,238.11460876464844,110931.9375,333.064453125,1.5199331045150757,0.997472616956726
Model_3 : Stacked LSTM Multivariate,443.8788146972656,328274.09375,572.9520874023438,3.2126147747039795,0.9925208704707745
Model_4 : Bidirectional LSTM Multivariate,283.7886962890625,135142.015625,367.6166687011719,1.7936687469482422,0.9969210341843293
Model_5 : CNN-LSTM Multivariate,242.28521728515625,115030.6640625,339.1617126464844,1.5545324087142944,0.9973792350596318
Model_6 : Conv1D Univariate,381.58636474609375,273572.875,523.0419311523438,2.47312068939209,0.9937671383008304
Model_7 : LSTM Univariate,163.6216583251953,53067.80078125,230.364501953125,1.0413957834243774,0.9987909465148604
Model_8 : Stacked LSTM Univariate,167.0567169189453,55751.7578125,236.11810302734375,1.058943510055542,0.9987297973039988
Model_9 : Bidirectional LSTM Univariate,165.35928344726562,53991.9765625,232.3617401123047,1.062056541442871,0.9987698908782899
Model_10 : CNN-LSTM Univariate,164.6995849609375,53914.28515625,232.1945037841797,1.0564852952957153,0.9987716609719989
