Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,226.54156494140625,100231.1953125,316.5931091308594,1.350996971130371,0.9980915670902144
Model_2 : LSTM Multivariate,234.853759765625,110372.28125,332.2232360839844,1.3950709104537964,0.9978984778295137
Model_3 : Stacked LSTM Multivariate,289.31634521484375,160643.140625,400.8031311035156,1.7331130504608154,0.9969413047922387
Model_4 : Bidirectional LSTM Multivariate,177.60362243652344,62891.56640625,250.7819061279297,1.0455151796340942,0.9988025252515587
Model_5 : CNN-LSTM Multivariate,311.2182312011719,183157.921875,427.96954345703125,1.8270660638809204,0.9965126171759984
Model_6 : Conv1D Univariate,208.63302612304688,86645.4921875,294.3560485839844,1.227954626083374,0.9983502431610949
Model_7 : LSTM Univariate,175.2412109375,61564.61328125,248.12217712402344,1.0342923402786255,0.9988277908465574
Model_8 : Stacked LSTM Univariate,180.804443359375,66579.078125,258.0292053222656,1.057643175125122,0.9987323137897076
Model_9 : Bidirectional LSTM Univariate,177.93682861328125,63451.44140625,251.89569091796875,1.049831748008728,0.9987918650342921
Model_10 : CNN-LSTM Univariate,177.91500854492188,63696.76953125,252.38218688964844,1.053458571434021,0.998787193918964
