Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,278.617431640625,142837.921875,377.9390563964844,1.7532438039779663,0.9967419537190735
Model_2 : LSTM Multivariate,272.1784973144531,138744.875,372.4847412109375,1.7563337087631226,0.9968353131182157
Model_3 : Stacked LSTM Multivariate,288.6944580078125,160704.421875,400.8795471191406,1.8371922969818115,0.9963344294729998
Model_4 : Bidirectional LSTM Multivariate,242.0358428955078,103688.0234375,322.0062561035156,1.5827717781066895,0.9976349387431731
Model_5 : CNN-LSTM Multivariate,285.413818359375,157395.09375,396.7304992675781,1.8232448101043701,0.9964099132737747
Model_6 : Conv1D Univariate,185.96405029296875,68091.1484375,260.94281005859375,1.1956100463867188,0.9984468819281496
Model_7 : LSTM Univariate,163.3470916748047,53319.69921875,230.91058349609375,1.0426335334777832,0.9987838098934713
Model_8 : Stacked LSTM Univariate,169.3618621826172,57637.9609375,240.07907104492188,1.0755672454833984,0.998685312931575
Model_9 : Bidirectional LSTM Univariate,166.22671508789062,54162.65234375,232.7287139892578,1.061558485031128,0.9987645826714641
Model_10 : CNN-LSTM Univariate,167.86346435546875,56724.9375,238.16998291015625,1.0721176862716675,0.9987061384213687
