Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,471.40234375,482348.09375,694.5128173828125,2.8669590950012207,0.9908226262230494
Model_2 : LSTM Multivariate,198.38873291015625,69926.15625,264.435546875,1.2219363451004028,0.9986695530081565
Model_3 : Stacked LSTM Multivariate,405.1546936035156,323657.34375,568.908935546875,2.4060287475585938,0.9938419483509824
Model_4 : Bidirectional LSTM Multivariate,181.6347198486328,64082.2734375,253.14476013183594,1.077778935432434,0.9987807415930241
Model_5 : CNN-LSTM Multivariate,180.43661499023438,64056.76171875,253.09437561035156,1.0665538311004639,0.9987812269259203
Model_6 : Conv1D Univariate,344.8277893066406,238366.921875,488.2283630371094,2.0530848503112793,0.9954647228732988
Model_7 : LSTM Univariate,177.95352172851562,62941.1171875,250.88067626953125,1.0484848022460938,0.9988024537500664
Model_8 : Stacked LSTM Univariate,183.96453857421875,67214.2734375,259.2571716308594,1.0954806804656982,0.9987211505246348
Model_9 : Bidirectional LSTM Univariate,178.47991943359375,63375.8828125,251.74566650390625,1.0533798933029175,0.9987941815985327
Model_10 : CNN-LSTM Univariate,177.89169311523438,63766.9453125,252.52117919921875,1.0530445575714111,0.9987867410962132
