Epoch,Training Loss,Validation Loss
0,0.03460617735981941,0.019849324598908424
1,0.009070713073015213,0.014656070619821548
2,0.007927541621029377,0.013756648637354374
3,0.007523623760789633,0.017511017620563507
4,0.007203700952231884,0.013013549149036407
5,0.0065598636865615845,0.018933231011033058
6,0.007172776851803064,0.012519021518528461
7,0.006008693017065525,0.011952823027968407
8,0.005926346872001886,0.012013680301606655
9,0.006183662451803684,0.013631925918161869
10,0.006193757988512516,0.012866240926086903
11,0.006578441709280014,0.012176107615232468
12,0.0057378229685127735,0.013799123466014862
13,0.005733262747526169,0.012630187906324863
14,0.005536016076803207,0.012257331982254982
15,0.005512632895261049,0.011990610510110855
16,0.005645575001835823,0.012071679346263409
17,0.005334994290024042,0.012729206122457981
18,0.005607499275356531,0.012895606458187103
19,0.006002103444188833,0.013821731321513653
20,0.005565729457885027,0.011814972385764122
21,0.005691042635589838,0.01234095823019743
22,0.005499100312590599,0.012125060893595219
23,0.005390458274632692,0.012339623644948006
24,0.005437992978841066,0.012007991783320904
25,0.005669092759490013,0.01224383432418108
26,0.0059914966113865376,0.012428122572600842
27,0.005815773271024227,0.013382529839873314
28,0.005489837843924761,0.011929474771022797
29,0.005171471741050482,0.012019054964184761
30,0.0050688693299889565,0.01235464308410883
31,0.00518527626991272,0.012446364387869835
32,0.005268418695777655,0.011844506487250328
33,0.005522230640053749,0.011749823577702045
34,0.005463338922709227,0.01184089109301567
35,0.005570011679083109,0.012182294391095638
36,0.00524917570874095,0.011827337555587292
37,0.005514843855053186,0.011786328628659248
38,0.006123707629740238,0.01261783204972744
39,0.005804952699691057,0.012544363737106323
40,0.005042382050305605,0.011896872892975807
41,0.005140247289091349,0.012707981280982494
42,0.005357017274945974,0.011816243641078472
43,0.00577808590605855,0.011989375576376915
44,0.0052136024460196495,0.011828860267996788
45,0.005123013164848089,0.011792214587330818
46,0.0055853864178061485,0.012020270340144634
47,0.005721517838537693,0.011866829358041286
48,0.005317837931215763,0.013142718933522701
49,0.00520734116435051,0.01199464499950409
