Epoch,Training Loss,Validation Loss
0,0.028497667983174324,0.020442163571715355
1,0.010836057364940643,0.016350287944078445
2,0.009358779527246952,0.017702732235193253
3,0.00779750756919384,0.014734526164829731
4,0.007701691705733538,0.015972934663295746
5,0.008113773539662361,0.01474670972675085
6,0.007798045873641968,0.014764463528990746
7,0.007791481912136078,0.015227386727929115
8,0.007032254710793495,0.01486772671341896
9,0.007407207973301411,0.014829618856310844
10,0.006679354701191187,0.01682385616004467
11,0.007164811249822378,0.020718539133667946
12,0.007310880813747644,0.01615251414477825
13,0.007295218296349049,0.014257133938372135
14,0.006682342384010553,0.015215795487165451
15,0.006910037714987993,0.014659913256764412
16,0.00647782813757658,0.0142796216532588
17,0.006697178352624178,0.014190291985869408
18,0.00713697075843811,0.014307337813079357
19,0.006497504655271769,0.018227972090244293
20,0.0070862132124602795,0.014160715974867344
21,0.007116963621228933,0.01584911160171032
22,0.006619894411414862,0.014644286595284939
23,0.007007238455116749,0.014176011085510254
24,0.006377720274031162,0.014386431314051151
25,0.006889889948070049,0.014168921858072281
26,0.006294560618698597,0.01499793492257595
27,0.0064118048176169395,0.017120186239480972
28,0.0065534524619579315,0.014379337430000305
29,0.00675109913572669,0.014351501129567623
30,0.006573389749974012,0.014532659202814102
31,0.006626664195209742,0.014966016635298729
32,0.006466933526098728,0.014339589513838291
33,0.006755192298442125,0.014222404919564724
34,0.006761778611689806,0.014451458118855953
35,0.0063380165956914425,0.014246364124119282
36,0.006714554503560066,0.014689740724861622
37,0.006693386938422918,0.014255988411605358
38,0.00651567243039608,0.014357107691466808
39,0.006621289532631636,0.014672285877168179
40,0.006418511737138033,0.014411011710762978
41,0.007188893388956785,0.01608782261610031
42,0.006470554042607546,0.015468958765268326
43,0.006396763492375612,0.014629191718995571
44,0.0064470418728888035,0.01462382823228836
45,0.0067587983794510365,0.014444808475673199
46,0.006347032729536295,0.015924690291285515
47,0.006272006314247847,0.015616318210959435
48,0.006590052507817745,0.014371326193213463
49,0.006521742790937424,0.017924878746271133
