Epoch,Training Loss,Validation Loss
0,0.04635612666606903,0.014724085107445717
1,0.007881850004196167,0.01264993567019701
2,0.00703982450067997,0.011448245495557785
3,0.007206083741039038,0.011505610309541225
4,0.00696929357945919,0.010151035152375698
5,0.006916452199220657,0.00966331735253334
6,0.007300032768398523,0.009522580541670322
7,0.006604514084756374,0.011417430825531483
8,0.006939820013940334,0.00961277075111866
9,0.006815704051405191,0.009448428638279438
10,0.006862617563456297,0.009860674850642681
11,0.006210487801581621,0.00931269396096468
12,0.006391898263245821,0.008355597034096718
13,0.006392711773514748,0.009526582434773445
14,0.006163971498608589,0.008960234932601452
15,0.005969529505819082,0.008320899680256844
16,0.006062113679945469,0.00828942283987999
17,0.006461290642619133,0.009753759019076824
18,0.006386985536664724,0.008578930050134659
19,0.006649728398770094,0.008552898652851582
20,0.006209307815879583,0.009636987932026386
21,0.006366066634654999,0.008663169108331203
22,0.00633232481777668,0.007886910811066628
23,0.00579794030636549,0.008374834433197975
24,0.006278902292251587,0.007778621278703213
25,0.006573325954377651,0.008865561336278915
26,0.00597804831340909,0.008517276495695114
27,0.006272385362535715,0.00786129105836153
28,0.0060456315986812115,0.008566314354538918
29,0.006533728912472725,0.008472775109112263
30,0.005881152115762234,0.008364747278392315
31,0.0062519158236682415,0.009051375091075897
32,0.005731834098696709,0.007892696186900139
33,0.006422525271773338,0.009583775885403156
34,0.006121716927736998,0.008996536023914814
35,0.005919416900724173,0.008690356276929379
36,0.0057181306183338165,0.008038177154958248
37,0.005872862413525581,0.008051738142967224
38,0.005597454495728016,0.008415891788899899
39,0.005598459858447313,0.00776533642783761
40,0.005727528128772974,0.007580023258924484
41,0.0057912347838282585,0.00830209068953991
42,0.005746775772422552,0.008852695114910603
43,0.005918565206229687,0.008450689725577831
44,0.006070622708648443,0.00777489272877574
45,0.005771116819232702,0.008215152658522129
46,0.005978733766824007,0.009151528589427471
47,0.005452683661133051,0.010524764657020569
48,0.005675344727933407,0.007862141355872154
49,0.0057943337596952915,0.00828698743134737
