Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,379.5480041503906,272944.8125,522.4412231445312,2.4391629695892334,0.9937763411739147
Model_2 : LSTM Multivariate,248.31015014648438,120687.1171875,347.4005126953125,1.5672873258590698,0.9972481046664354
Model_3 : Stacked LSTM Multivariate,353.5115966796875,234104.328125,483.8432922363281,2.192011594772339,0.9946619774511615
Model_4 : Bidirectional LSTM Multivariate,295.98590087890625,158749.046875,398.4332275390625,1.9126795530319214,0.9963802208749363
Model_5 : CNN-LSTM Multivariate,241.14193725585938,111056.59375,333.2515563964844,1.548211693763733,0.9974676989233989
Model_6 : Conv1D Univariate,285.9436340332031,179462.0,423.6295471191406,1.854560136795044,0.9959079265668564
Model_7 : LSTM Univariate,163.22903442382812,52778.34375,229.73538208007812,1.0468857288360596,0.9987965535793534
Model_8 : Stacked LSTM Univariate,170.0829620361328,56388.00390625,237.46157836914062,1.097278356552124,0.998714246628126
Model_9 : Bidirectional LSTM Univariate,164.6586456298828,54109.61328125,232.61473083496094,1.0521092414855957,0.9987661981424815
Model_10 : CNN-LSTM Univariate,164.84490966796875,53634.56640625,231.5913848876953,1.0545459985733032,0.9987770301462093
