Date,moneyStock
1998/01,4.5
1998/02,5
1998/03,4.5
1998/04,3.6
1998/05,3.9
1998/06,3.4
1998/07,3.5
1998/08,3.8
1998/09,3.8
1998/10,3.9
1998/11,4.3
1998/12,3.9
1999/01,3.6
1999/02,3.4
1999/03,3.7
1999/04,3.9
1999/05,4.1
1999/06,4.3
1999/07,4
1999/08,3.5
1999/09,3.3
1999/10,3.6
1999/11,2.9
1999/12,2.6
2000/01,2.6
2000/02,2.1
2000/03,1.9
2000/04,2.9
2000/05,2.2
2000/06,1.9
2000/07,2
2000/08,1.8
2000/09,2
2000/10,2.1
2000/11,1.9
2000/12,2
2001/01,2.2
2001/02,2.6
2001/03,2.5
2001/04,2.3
2001/05,2.6
2001/06,2.9
2001/07,3
2001/08,2.9
2001/09,3.2
2001/10,2.9
2001/11,3
2001/12,3.3
2002/01,3.5
2002/02,3.5
2002/03,3.7
2002/04,3.5
2002/05,3.5
2002/06,3.4
2002/07,3.3
2002/08,3.4
2002/09,3.2
2002/10,3.3
2002/11,3.2
2002/12,2.2
2003/01,1.9
2003/02,1.9
2003/03,1.7
2003/04,1.3
2003/05,1.6
2003/06,1.8
2003/07,1.8
2003/08,1.9
2003/09,1.8
2003/10,1.5
2003/11,1.5
2003/12,1.5
2004/01,1.6
2004/02,1.7
2004/03,1.7
2004/04,1.8
2004/05,2
2004/06,1.7
2004/07,1.8
2004/08,1.9
2004/09,2.1
2004/10,2
2004/11,2
2004/12,2
2005/01,1.9
2005/02,1.8
2005/03,2
2005/04,1.8
2005/05,1.4
2005/06,1.6
2005/07,1.6
2005/08,1.6
2005/09,2
2005/10,1.9
2005/11,2
2005/12,1.9
2006/01,1.8
2006/02,1.7
2006/03,1.4
2006/04,1.6
2006/05,1.3
2006/06,1.1
2006/07,0.5
2006/08,0.4
2006/09,0.5
2006/10,0.5
2006/11,0.6
2006/12,0.7
2007/01,0.9
2007/02,1
2007/03,1.1
2007/04,1.1
2007/05,1.4
2007/06,1.8
2007/07,2
2007/08,1.8
2007/09,1.7
2007/10,1.9
2007/11,2
2007/12,2.1
2008/01,2.1
2008/02,2.4
2008/03,2.3
2008/04,1.9
2008/05,2.1
2008/06,2.2
2008/07,2.1
2008/08,2.4
2008/09,2.2
2008/10,1.8
2008/11,1.8
2008/12,1.8
2009/01,2
2009/02,2.1
2009/03,2.2
2009/04,2.7
2009/05,2.7
2009/06,2.5
2009/07,2.7
2009/08,2.8
2009/09,3
2009/10,3.4
2009/11,3.3
2009/12,3.1
2010/01,3
2010/02,2.7
2010/03,2.7
2010/04,2.9
2010/05,3.1
2010/06,2.9
2010/07,2.7
2010/08,2.8
2010/09,2.8
2010/10,2.8
2010/11,2.6
2010/12,2.3
2011/01,2.3
2011/02,2.4
2011/03,2.6
2011/04,2.7
2011/05,2.7
2011/06,2.8
2011/07,2.9
2011/08,2.7
2011/09,2.7
2011/10,2.8
2011/11,3
2011/12,3.1
2012/01,3
2012/02,2.9
2012/03,3
2012/04,2.6
2012/05,2.2
2012/06,2.3
2012/07,2.3
2012/08,2.4
2012/09,2.4
2012/10,2.3
2012/11,2.1
2012/12,2.6
2013/01,2.7
2013/02,2.9
2013/03,3
2013/04,3.2
2013/05,3.5
2013/06,3.8
2013/07,3.7
2013/08,3.8
2013/09,3.8
2013/10,4.1
2013/11,4.3
2013/12,4.2
2014/01,4.3
2014/02,4
2014/03,3.5
2014/04,3.4
2014/05,3.3
2014/06,3
2014/07,3
2014/08,3
2014/09,3
2014/10,3.1
2014/11,3.6
2014/12,3.5
2015/01,3.3
2015/02,3.5
2015/03,3.6
2015/04,3.6
2015/05,4.1
2015/06,3.8
2015/07,3.9
2015/08,4.1
2015/09,3.8
2015/10,3.6
2015/11,3.3
2015/12,3.1
2016/01,3.1
2016/02,3.1
2016/03,3
2016/04,3.3
2016/05,3.3
2016/06,3.3
2016/07,3.3
2016/08,3.2
2016/09,3.4
2016/10,3.6
2016/11,3.8
2016/12,3.9
2017/01,3.9
2017/02,4.1
2017/03,4.2
2017/04,3.9
2017/05,3.8
2017/06,3.9
2017/07,4
2017/08,4
2017/09,4
2017/10,4.1
2017/11,4
2017/12,3.6
2018/01,3.4
2018/02,3.2
2018/03,3.1
2018/04,3.2
2018/05,3.2
2018/06,3.1
2018/07,2.9
2018/08,2.9
2018/09,2.8
2018/10,2.7
2018/11,2.3
2018/12,2.4
2019/01,2.3
2019/02,2.4
2019/03,2.4
2019/04,2.4
2019/05,2.5
2019/06,2.2
2019/07,2.2
2019/08,2.3
2019/09,2.3
2019/10,2.3
2019/11,2.6
2019/12,2.6
2020/01,2.6
2020/02,2.8
2020/03,3.1
2020/04,3.7
2020/05,5.1
2020/06,7.3
2020/07,7.9
2020/08,8.6
2020/09,9
2020/10,9
2020/11,9.1
2020/12,9.2
2021/01,9.4
2021/02,9.6
2021/03,9.5
2021/04,9.3
2021/05,8
2021/06,5.9
2021/07,5.3
2021/08,4.7
2021/09,4.2
2021/10,4.2
2021/11,4
2021/12,3.7
2022/01,3.6
2022/02,3.6
2022/03,3.5
2022/04,3.4
2022/05,3.1
2022/06,3.3
2022/07,3.4
2022/08,3.4
2022/09,3.3
2022/10,3.1
2022/11,3.1
2022/12,2.9
2023/01,2.7
2023/02,2.6
2023/03,2.5
2023/04,2.6
2023/05,2.6
2023/06,2.6
2023/07,2.5
2023/08,2.5
2023/09,2.4
2023/10,2.4
2023/11,2.3
2023/12,2.3
