,0
0,0.0005457897695449309
1,0.0005511531692456531
2,0.0005557503689891294
3,0.0005577935688751189
4,0.0005879307671934632
5,0.0005667325683763229
6,0.0005858875673074738
7,0.0005848659673644793
8,0.0005465559695021771
9,0.000517695771112576
10,0.0004898571726659699
11,0.00044899317494618077
12,0.0004515471748036677
13,0.0004203883765423284
14,0.0004081291772263921
15,0.00043188137590101936
16,0.0004433743752597099
17,0.0004331583758297626
18,0.0004155357768131037
19,0.00040404277745441277
20,0.00040531977738315645
21,0.00041247097698411976
22,0.00039229437810997395
23,0.0003726285792073256
24,0.000356793780090907
25,0.0003516857803759336
26,0.0003759487790220583
27,0.0003741609791218176
28,0.00035883697997689647
29,0.0003386603811027511
30,0.00032001618214309727
31,0.0003156743823853696
32,0.000299328783297454
33,0.0002454393863044824
34,0.00021964398774386527
35,0.00022219798760135263
36,0.00020738478842792897
37,0.00018235558982455805
38,0.00016626539072239158
39,0.00014608879184824534
40,8.811299508329484e-05
41,0.00016447759082215043
42,0.00019793498895522748
43,0.0002622957853638951
44,0.00022092098767260895
45,0.00019895658889822242
46,0.00020815098838517518
47,0.00020380918862744754
48,0.00019359318919749983
49,0.0001866973895822857
50,0.00018235558982455805
51,0.0001874635895395319
52,0.0002525905859054453
53,0.00029907338331170525
54,0.00029166678372499364
55,0.0003590923799626452
56,0.0004732561735923055
57,0.00045359037468965715
58,0.0004403095754307255
59,0.0004119601770126223
60,0.0003833553786087699
61,0.00034402378080347325
62,0.00035194118036168233
63,0.0003396819810457456
64,0.0003059691829269198
65,0.0003080123828129093
66,0.00027583198460857505
67,0.00025310138587694275
68,0.0002771089845373187
69,0.00027506578465132927
70,0.00031848378222860485
71,0.00033763878115975615
72,0.00029677478343996706
73,0.0002689361849933609
74,0.00026382818527838706
75,0.00024569478629023114
76,0.00022883838723081803
77,0.00023215858704555116
78,0.00021351438808589734
79,0.00022270878757284967
80,0.00022909378721656676
81,0.00022909378721656676
82,0.00022194258761560346
83,0.00023164778707405326
84,0.00024084218656100602
85,0.00022653978735907984
86,0.000207895588399426
87,0.00019129458932576164
88,0.00017954618998132282
89,0.00017903539000982535
90,0.00015885879113567954
91,0.00012693379291709448
92,9.781819454174464e-05
93,0.00010139379434222608
94,0.00011773939343014172
95,0.00011416379362966028
96,9.32209947982687e-05
97,9.32209947982687e-05
98,0.00011850559338738792
99,0.00012208119318786936
100,0.00013638359238979554
101,0.00017086259046586753
102,0.0001915499893115108
103,0.00014276859203351264
104,0.00012540139300260206
105,9.449799472701194e-05
106,2.349679868887851e-05
107,2.400759866037598e-05
108,1.0215999429947272e-05
109,1.5068599159172389e-05
110,4.086399771978909e-06
111,0.0
112,8.938999501203592e-06
113,1.0215999429947272e-05
114,2.0176598874145808e-05
115,0.00010241539428522102
116,0.00021172658818565662
117,0.00024390698638998998
118,0.00033585098125951543
119,0.0004742777735353
120,0.0006152585656685724
121,0.0005008393720531629
122,0.00045869837440463057
123,0.00045691057450438985
124,0.0004170681767275957
125,0.0004252409762715535
126,0.0004574213744758873
127,0.00045512277460414913
128,0.0004336691758012601
129,0.0003991901777251881
130,0.00038284457863727245
131,0.0003733947791645714
132,0.00031516358241387215
133,0.00036420037967761906
134,0.0003539843802476718
135,0.0003537289802619226
136,0.0003899957782382353
137,0.0004088953771836383
138,0.0004574213744758873
139,0.0004658495740055939
140,0.00045435657464690336
141,0.0004732561735923055
142,0.0005110553714831106
143,0.0005123323714118539
144,0.0005128431713833509
145,0.0005360845700864811
146,0.0005815457675497461
147,0.0006359459645142156
148,0.0006980081610511446
149,0.0007028607607803697
150,0.0007595595576165765
151,0.0007552177578588489
152,0.0007434693585144101
153,0.0006944325612506632
154,0.0006676155627470515
155,0.0006860043617209566
156,0.0006847273617922134
157,0.0007148645601105577
158,0.0007493435581866297
159,0.0007483219582436348
160,0.0007204833597970286
161,0.0007082241604810919
162,0.0006640399629465701
163,0.0006699141626187897
164,0.0006847273617922134
165,0.0006530577635593766
166,0.0005909955670224476
167,0.0006175571655403105
168,0.0005876753672077149
169,0.0005869091672504687
170,0.0005943157668371803
171,0.0006188341654690538
172,0.0006410539642291886
173,0.000657144163331356
174,0.0006137261657540799
175,0.0005927833669226879
176,0.0005616245686613491
177,0.00058665376726472
178,0.0005611137686898516
179,0.0005031379719249015
180,0.000517695771112576
181,0.0005148863712693403
182,0.0004740223735495517
183,0.00046814817387733207
184,0.0005039041718821473
185,0.00046661577396283965
186,0.0004699359737775728
187,0.0005156525712265866
188,0.000562646168604344
189,0.0005437465696589414
190,0.0005585597688323651
191,0.0005286779704997695
192,0.0005353183701292349
193,0.0005498761693169098
194,0.000529699570442764
195,0.0005427249697159469
