Epoch,Training Loss,Validation Loss
0,0.04056314751505852,0.010336637496948242
1,0.006622214335948229,0.013305723667144775
2,0.006118758115917444,0.009715024381875992
3,0.006411807611584663,0.010362300090491772
4,0.00619175098836422,0.008838598616421223
5,0.005729015916585922,0.006433042697608471
6,0.005625687539577484,0.008471830748021603
7,0.005714607425034046,0.007030148524791002
8,0.00565832294523716,0.007013473194092512
9,0.005353222601115704,0.0055702305398881435
10,0.00583701441064477,0.005591580644249916
11,0.005581443663686514,0.007228180766105652
12,0.005739482119679451,0.005655657034367323
13,0.005665601696819067,0.006284594070166349
14,0.00568899093195796,0.008250130340456963
15,0.005811021663248539,0.008465425111353397
16,0.004991087596863508,0.005089523270726204
17,0.005237328354269266,0.006789073348045349
18,0.004359524231404066,0.006188206374645233
19,0.004709579981863499,0.0057177115231752396
20,0.005297263618558645,0.006381924729794264
21,0.004816224332898855,0.004853242542594671
22,0.004918348975479603,0.005024241283535957
23,0.005689400713890791,0.004655510187149048
24,0.005208312068134546,0.007020912133157253
25,0.004137661773711443,0.005569914355874062
26,0.004690697882324457,0.005705999210476875
27,0.004403216298669577,0.004444044083356857
28,0.004797081463038921,0.008477519266307354
29,0.004481601063162088,0.005814386997371912
30,0.004162624478340149,0.006308563053607941
31,0.005137215834110975,0.0062494236044585705
32,0.004044344183057547,0.006746047642081976
33,0.004553126636892557,0.005240006372332573
34,0.0038792386185377836,0.005325248930603266
35,0.00400831364095211,0.006257889326661825
36,0.003942699637264013,0.006225800607353449
37,0.004264420364052057,0.005872242618352175
38,0.0040484704077243805,0.005590661894530058
39,0.004185445141047239,0.005936658009886742
40,0.0038950354792177677,0.007330110762268305
41,0.004070364870131016,0.006263366434723139
42,0.0038447550032287836,0.005453918594866991
43,0.0036713089793920517,0.006436922587454319
44,0.004139980301260948,0.0061441753059625626
45,0.0038475135806947947,0.007320241071283817
46,0.003784862579777837,0.006692274007946253
47,0.003887039376422763,0.0056059639900922775
48,0.003797981422394514,0.007621326949447393
49,0.003841603407636285,0.005061385687440634
