Epoch,Training Loss,Validation Loss
0,0.06914485991001129,0.023344356566667557
1,0.007387753576040268,0.01944946125149727
2,0.007272049784660339,0.010921601206064224
3,0.007570503279566765,0.013196077197790146
4,0.006954789627343416,0.009658352471888065
5,0.007234532851725817,0.010317985899746418
6,0.005952195730060339,0.012961077503859997
7,0.005504651460796595,0.010770396329462528
8,0.006307014264166355,0.009601868689060211
9,0.005869581829756498,0.008811772800981998
10,0.0053443219512701035,0.011182600632309914
11,0.005246326327323914,0.009427500888705254
12,0.005049834027886391,0.010567152872681618
13,0.0063745202496647835,0.010412974283099174
14,0.004803732968866825,0.010111960582435131
15,0.005404005292803049,0.013165147975087166
16,0.004581182263791561,0.010758917778730392
17,0.004620677325874567,0.008792097680270672
18,0.004946199711412191,0.008556688204407692
19,0.004300860222429037,0.009097889065742493
20,0.004664431791752577,0.010225484147667885
21,0.004979794844985008,0.010141056030988693
22,0.004475365858525038,0.0085251210257411
23,0.004866728559136391,0.009678391739726067
24,0.0051823933608829975,0.0089652631431818
25,0.004293272737413645,0.0068221683613955975
26,0.0046333870850503445,0.00850281585007906
27,0.0041820816695690155,0.010119614191353321
28,0.004092696122825146,0.008379128761589527
29,0.004790550097823143,0.008449090644717216
30,0.004338677506893873,0.01187457051128149
31,0.0048449281603097916,0.00899077020585537
32,0.0042793587781488895,0.00890669971704483
33,0.003969785291701555,0.007968052290380001
34,0.00412166491150856,0.008696643635630608
35,0.004293845966458321,0.008435958065092564
36,0.004052665550261736,0.00812519621104002
37,0.003628414822742343,0.00844176858663559
38,0.004798369016498327,0.009227442555129528
39,0.004147042520344257,0.009754241444170475
40,0.0036495313979685307,0.008454972878098488
41,0.003709666896611452,0.0077040051110088825
42,0.003368716686964035,0.007861191406846046
43,0.003589285770431161,0.008519795723259449
44,0.003566001309081912,0.00761393690481782
45,0.0036677818279713392,0.008621451444923878
46,0.004001947119832039,0.009190903045237064
47,0.004434953443706036,0.007465743459761143
48,0.0034546873066574335,0.007541500497609377
49,0.004180759657174349,0.008266053162515163
