Epoch,Training Loss,Validation Loss
0,0.019908785820007324,0.014143545180559158
1,0.007882845588028431,0.01735812798142433
2,0.007251064758747816,0.015900705009698868
3,0.0064792693592607975,0.015264484100043774
4,0.006134748458862305,0.011653250083327293
5,0.005474788602441549,0.01286999136209488
6,0.005819920916110277,0.010734195820987225
7,0.004891586489975452,0.011796928010880947
8,0.00525562884286046,0.011201323941349983
9,0.005079062655568123,0.01393844373524189
10,0.006094736512750387,0.010419653728604317
11,0.00591307645663619,0.012952753342688084
12,0.0057694558054208755,0.013011530041694641
13,0.005389228463172913,0.010347964242100716
14,0.005521147511899471,0.010874137282371521
15,0.006307872943580151,0.011577186174690723
16,0.005536181386560202,0.011031248606741428
17,0.005035721696913242,0.010285095311701298
18,0.005057294387370348,0.011850222013890743
19,0.004861258901655674,0.009847570210695267
20,0.005459790583699942,0.012473596259951591
21,0.005590066313743591,0.009969907812774181
22,0.005839007440954447,0.010453619994223118
23,0.005146834068000317,0.00982637144625187
24,0.004866873379796743,0.008782058954238892
25,0.004697591532021761,0.008942692540585995
26,0.004937034100294113,0.00976941455155611
27,0.005246345419436693,0.010136601515114307
28,0.005481257103383541,0.009308886714279652
29,0.005585612263530493,0.009605652652680874
30,0.004544911440461874,0.008988731540739536
31,0.004527197685092688,0.008337964303791523
32,0.004587250296026468,0.00938954297453165
33,0.004839601926505566,0.0110877500846982
34,0.004581110086292028,0.009875773452222347
35,0.005366378929466009,0.009784112684428692
36,0.004251418169587851,0.011519549414515495
37,0.005659259390085936,0.020566631108522415
38,0.004718391690403223,0.008294261991977692
39,0.0040943799540400505,0.011212732642889023
40,0.00411131652072072,0.010486564598977566
41,0.004259750247001648,0.008834819309413433
42,0.004406387452036142,0.008272003382444382
43,0.004701175726950169,0.010425973683595657
44,0.004593866411596537,0.008399120531976223
45,0.004693443421274424,0.008129080757498741
46,0.004387764260172844,0.012146055698394775
47,0.004911127034574747,0.008194191381335258
48,0.004238373599946499,0.008167430758476257
49,0.003866832237690687,0.008656331337988377
