,Closing Price (Yen),discount_rate
304,108.8,5.11
305,109.23,5.11
306,108.86000000000001,5.11
307,108.54,5.11
308,108.22,5.11
309,110.13000000000001,5.11
310,110.47000000000001,5.11
311,111.08,5.11
312,110.36,5.11
313,109.97,5.11
314,110.56000000000002,5.11
315,112.59,5.11
316,115.43000000000002,5.11
317,115.0,5.11
318,117.01,5.11
319,118.59,5.11
320,119.43,5.11
321,119.24,5.11
322,120.47,5.11
323,120.1,5.11
324,118.23,5.11
325,117.81,5.11
326,119.1,5.11
327,119.49000000000001,5.11
328,118.31000000000002,5.11
329,118.24,5.11
330,118.8,5.11
331,119.8,5.11
332,119.56,5.11
333,119.14999999999999,5.11
334,119.86,5.11
335,121.88,5.11
336,122.09,5.11
337,120.75,5.11
338,120.9,5.11
339,121.84,5.11
340,122.70999999999998,5.11
341,123.93000000000002,5.11
342,125.35999999999999,5.11
343,127.89,5.11
344,126.89,5.11
345,128.9,5.11
346,130.55,5.11
347,129.9,5.11
348,130.05,5.11
349,130.14,5.11
350,131.67,5.11
351,132.5,5.11
352,132.91,5.11
353,132.97,5.11
354,132.64,5.11
355,129.75,5.11
356,127.81,5.11
357,125.72,5.11
358,125.94999999999999,5.11
359,126.46,5.11
360,125.44,5.11
361,125.07,5.11
362,125.76,5.11
363,123.1,5.11
364,123.32,5.11
365,124.53,5.11
366,124.87,5.11
367,123.78,5.11
368,122.75,5.11
369,122.0,5.11
370,122.1,5.11
371,121.76,5.11
372,121.64,5.11
373,122.16,5.11
374,122.07,5.11
375,119.4,5.11
376,117.53999999999999,5.11
377,118.87999999999998,5.11
378,119.03,5.11
379,119.21999999999998,5.11
380,121.02,5.11
381,122.87,5.11
382,121.93999999999998,5.11
383,121.88,5.11
384,121.0,5.11
385,122.41,5.11
386,123.02,5.11
387,122.81,5.11
388,121.5,5.11
389,121.34999999999998,5.11
390,120.82,5.11
391,121.11,5.11
392,122.70999999999998,5.11
393,123.2,5.11
394,123.71,5.11
395,124.54,5.11
396,124.49,5.11
397,124.17,5.11
398,123.67,5.11
399,123.76,5.11
400,123.63,5.11
401,123.19,5.11
402,123.73,5.11
403,123.98,5.11
404,124.66,5.11
405,124.9,5.11
406,125.94999999999999,5.11
407,126.32,5.11
408,126.22000000000001,5.11
409,125.11000000000001,5.11
410,125.4,5.11
411,126.17,5.11
412,126.08,5.11
413,125.53,5.11
414,125.71,5.11
415,127.23,5.11
416,127.32,5.11
417,127.61,5.11
418,129.34,5.11
419,132.47,5.11
420,132.08,5.11
421,131.46,5.11
422,132.55,5.11
423,133.73,5.11
424,135.14,5.11
425,134.95,5.11
426,135.71,5.11
427,136.29,5.11
428,136.42,5.11
429,135.64,5.11
430,134.13,5.11
431,132.36,5.11
432,132.86,5.11
433,133.14,5.11
434,133.65,5.11
435,134.03,5.11
436,132.73,5.11
437,131.45,5.11
438,130.3,5.11
439,130.59,5.11
440,130.73,5.11
441,130.49,5.11
442,126.22000000000001,5.11
443,124.48,5.11
444,127.93,5.11
445,128.5,5.11
446,127.94,5.11
447,127.87,5.11
448,127.52,5.11
449,127.2,5.11
450,128.0,5.11
451,127.7,5.11
452,128.33,5.11
453,129.03,5.11
454,129.91,5.11
455,130.63,5.11
456,132.46,5.11
457,133.23,5.11
458,132.91,5.11
459,132.56,5.11
460,132.29,5.11
461,132.08,5.11
462,132.99,5.11
463,132.98,5.11
464,133.01,5.11
465,133.64,5.11
466,134.25,5.11
467,135.89,5.11
468,136.23,5.11
469,137.72,5.11
470,139.44,5.11
471,139.89,5.11
472,140.69,5.11
473,138.34,5.11
474,137.76,5.11
475,137.75,5.11
476,137.14,5.11
477,137.81,5.11
478,137.85,5.11
479,137.45,5.11
480,137.21,5.11
481,137.09,5.11
482,137.38,5.11
483,137.54,5.11
484,137.46,5.11
485,138.04,5.11
486,139.31,5.11
487,140.81,5.11
488,140.14,5.11
489,140.61,5.11
490,142.82,5.11
491,143.29,5.11
492,143.14,5.11
493,144.04,5.11
494,145.3,5.11
495,145.93,5.11
496,146.42,5.11
497,144.68,5.11
498,144.46,5.11
499,144.6,5.11
500,145.49,5.11
501,145.83,5.11
502,145.99,5.11
503,146.15,5.11
504,146.39,5.11
505,146.08,5.11
506,146.72,5.11
507,146.8,5.11
508,145.43,5.11
509,143.61,5.11
510,144.33,5.11
511,145.56,5.11
512,146.37,5.11
513,147.67,5.11
514,153.06,5.11
515,152.7,5.11
516,151.69,5.11
