Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,526.5277099609375,577190.0,759.730224609375,3.2421185970306396,0.9890234654003722
Model_2 : LSTM Multivariate,181.37269592285156,64466.00390625,253.9015655517578,1.0870460271835327,0.9987740373252016
Model_3 : Stacked LSTM Multivariate,191.4006805419922,71473.8203125,267.34588623046875,1.1303035020828247,0.9986407684047128
Model_4 : Bidirectional LSTM Multivariate,192.47705078125,72366.03125,269.00933837890625,1.1137549877166748,0.9986238010792494
Model_5 : CNN-LSTM Multivariate,205.83645629882812,74088.3671875,272.1917724609375,1.224388599395752,0.9985910468697367
Model_6 : Conv1D Univariate,396.70355224609375,303122.09375,550.5652465820312,2.3726682662963867,0.9942354679916269
Model_7 : LSTM Univariate,178.1417694091797,63116.34765625,251.22967529296875,1.0516291856765747,0.9987997040090755
Model_8 : Stacked LSTM Univariate,181.61036682128906,65984.2890625,256.87408447265625,1.0681146383285522,0.9987451638974972
Model_9 : Bidirectional LSTM Univariate,179.6968536376953,64518.81640625,254.0055389404297,1.0594595670700073,0.998773033043488
Model_10 : CNN-LSTM Univariate,177.602783203125,62815.85546875,250.63092041015625,1.0477864742279053,0.9988054186426195
