Epoch,Training Loss,Validation Loss
0,0.03025689348578453,0.011130869388580322
1,0.007342554163187742,0.021725719794631004
2,0.006837199442088604,0.009225745685398579
3,0.005522570572793484,0.006627547089010477
4,0.00416565639898181,0.009236122481524944
5,0.004630272276699543,0.012952174991369247
6,0.004660560749471188,0.007043878547847271
7,0.0041762846522033215,0.009269938804209232
8,0.0044241915456950665,0.009500624611973763
9,0.004023001063615084,0.0061592767015099525
10,0.0038970145396888256,0.013960509561002254
11,0.004021248314529657,0.005716877989470959
12,0.003541554557159543,0.004406786989420652
13,0.003654190106317401,0.007704131305217743
14,0.0035772037226706743,0.004450886510312557
15,0.003275904105976224,0.006413085851818323
16,0.003214024007320404,0.004338125232607126
17,0.00271218572743237,0.0060322824865579605
18,0.0036141439341008663,0.004511125851422548
19,0.003275721799582243,0.004262992180883884
20,0.003157774917781353,0.004548399709165096
21,0.0028204701375216246,0.004543005023151636
22,0.00312149990350008,0.009062284603714943
23,0.002835321007296443,0.0042490107007324696
24,0.003005530219525099,0.004336665850132704
25,0.0025983445812016726,0.005502651445567608
26,0.003120741108432412,0.0048136403784155846
27,0.0032991596963256598,0.005166398826986551
28,0.0027617572341114283,0.006318739615380764
29,0.0029357236344367266,0.0044270777143538
30,0.002790576545521617,0.005033370107412338
31,0.0027716048061847687,0.004185545723885298
32,0.002425403567031026,0.005730684846639633
33,0.002459779614582658,0.006730677094310522
34,0.0025666896253824234,0.00459208432585001
35,0.003678783541545272,0.009133378975093365
36,0.0027421624399721622,0.004619956016540527
37,0.002465749392285943,0.005227420944720507
38,0.00249262573197484,0.0045539578422904015
39,0.0027452954091131687,0.004206039011478424
40,0.0025061059277504683,0.004931841976940632
41,0.0025618690997362137,0.007135737221688032
42,0.0033296262845396996,0.004455914720892906
43,0.002355149481445551,0.00422933604568243
44,0.002244202885776758,0.005179940722882748
45,0.0024236165918409824,0.004182092379778624
46,0.002448219107463956,0.004507673438638449
47,0.0029648703057318926,0.004710349719971418
48,0.002417024690657854,0.004649900831282139
49,0.0023504658602178097,0.004815701860934496
