Daftar Model,mae,mse,rmse,mape,R-square
Model_1 : Conv1D Multivariate,457.7568054199219,427468.5,653.8107299804688,2.983391046524048,0.9902561168944904
Model_2 : LSTM Multivariate,283.6767883300781,145235.421875,381.09765625,1.8107595443725586,0.9966894476318664
Model_3 : Stacked LSTM Multivariate,468.8924865722656,341755.25,584.598388671875,3.403247594833374,0.9922098988041324
Model_4 : Bidirectional LSTM Multivariate,272.32489013671875,136948.984375,370.0661926269531,1.7735316753387451,0.9968783315760285
Model_5 : CNN-LSTM Multivariate,207.76438903808594,74714.5234375,273.3395690917969,1.3826484680175781,0.9982969281747612
Model_6 : Conv1D Univariate,318.2882080078125,199983.03125,447.1946105957031,2.0521187782287598,0.9954415098530316
Model_7 : LSTM Univariate,164.30897521972656,53434.38671875,231.15879821777344,1.0509644746780396,0.9987819959409565
Model_8 : Stacked LSTM Univariate,166.4684600830078,55269.1640625,235.0939483642578,1.0637857913970947,0.9987401733458938
Model_9 : Bidirectional LSTM Univariate,163.5134735107422,53207.796875,230.66815185546875,1.042757511138916,0.9987871608942376
Model_10 : CNN-LSTM Univariate,163.5149383544922,53158.8984375,230.5621337890625,1.0459660291671753,0.9987882755130041
